Latitude,Longitude,landslide
24.478972,92.682861,1
24.511306,92.693028,1
24.515944,92.540889,1
24.57025,92.685,1
24.62,92.84,1
24.64,92.98,1
24.645417,93.005361,1
24.659389,92.497361,1
24.70364,92.64681,1
24.70656,92.65008,1
24.710833,92.481167,1
24.72192,92.90381,1
24.73117,92.64739,1
24.78002778,92.45372222,1
24.78380556,92.45563889,1
24.79489,92.55506,1
24.92097,93.07306,1
24.95,92.73,1
24.97,92.72,1
24.99,92.45,1
25.008,93.04,1
25.02,92.52,1
25.02,92.52,1
25.029708,92.463967,1
25.031431,92.463231,1
25.032119,92.462636,1
25.032989,92.462214,1
25.037203,92.450339,1
25.121,92.915028,1
25.122,93.025,1
25.122,93.026,1
25.123,93.034,1
25.123,93.033,1
25.124306,92.904278,1
25.124583,92.989111,1
25.134,93.045,1
25.134472,93.018972,1
25.135,93.04,1
25.135,93.04,1
25.136,93.04,1
25.137,93.04,1
25.137,93.034,1
25.137,93.04,1
25.137,93.018,1
25.139,93.025,1
25.139,93.04,1
25.139611,93.019556,1
25.14,93.3,1
25.140417,93.020389,1
25.142,93.04,1
25.142,93.04,1
25.14525,93.029167,1
25.145861,93.024194,1
25.146306,93.942167,1
25.146778,93.030972,1
25.148722,93.031917,1
25.150694,93.025833,1
25.155,93.067,1
25.155,93.067,1
25.155,93.073,1
25.155611,93.022222,1
25.155722,93.022778,1
25.156,93.018,1
25.156389,93.018389,1
25.156583,93.019611,1
25.156694,93.017667,1
25.157,93.062,1
25.157,93.066,1
25.157139,93.017194,1
25.157361,93.016083,1
25.159333,93.017,1
25.163444,93.023167,1
25.164,93.040194,1
25.165639,93.025444,1
25.171889,93.003944,1
25.175056,93.020417,1
25.175972,93.020167,1
25.176389,93.116139,1
25.176917,93.026556,1
25.177028,93.020889,1
25.1775,93.026222,1
25.179861,93.070778,1
25.184528,93.125639,1
25.186,93.104,1
25.18725,93.120556,1
25.188,93.066,1
25.188444,93.019667,1
25.189556,93.096417,1
25.193083,93.120417,1
25.196694,93.018583,1
25.199722,93.016722,1
25.201,93.122,1
25.204556,93.138889,1
25.205528,93.020139,1
25.206,93.126,1
25.207389,93.122778,1
25.208,93.121,1
25.21,93.31,1
25.214944,93.021611,1
25.216944,93.011361,1
25.2185,93.013111,1
25.224278,93.222861,1
25.229556,93.1556,1
25.23,93.29,1
25.242,93.14,1
25.417333,93.129083,1
25.42,93.002,1
25.424,93.0,1
25.50669,93.10536,1
25.61092,93.09178,1
25.64897,93.12083,1
25.65167,93.12083,1
25.65792,93.11811,1
25.65839,93.11808,1
25.67153,93.11522,1
25.72486,93.131083,1
25.72561,93.13075,1
25.809417,92.474833,1
25.81756,93.10886,1
25.84,91.35,1
25.91,91.4,1
25.946611,92.305361,1
25.95,91.28,1
25.96667,92.356917,1
25.977194,92.354778,1
26.012,92.264167,1
26.013528,92.266083,1
26.022833,92.274028,1
26.030972,92.474139,1
26.031528,92.472778,1
26.031583,92.47375,1
26.033556,92.468056,1
26.035278,92.470861,1
26.039194,92.4595,1
26.043583,92.440528,1
26.043583,92.452222,1
26.043611,92.440944,1
26.043722,92.441472,1
26.045472,92.457417,1
26.048611,92.432194,1
26.098167,91.881278,1
26.101333,92.440556,1
26.102167,92.440472,1
26.102333,92.4415,1
26.102667,92.441639,1
26.103028,92.440889,1
26.10725,92.44,1
26.108417,92.440222,1
26.11,94.76,1
26.110139,92.439333,1
26.112667,91.853889,1
26.113639,92.441222,1
26.116972,92.440083,1
26.117111,92.441028,1
26.117417,92.438667,1
26.118167,92.440944,1
26.119417,92.439972,1
26.1505375,91.72798139,1
26.15428,91.79264,1
26.172917,92.762778,1
26.1755,91.76175,1
26.17672,91.76525,1
26.17756,91.76589,1
26.18842,91.85125,1
26.1895,91.787167,1
26.190389,91.809944,1
26.19081,91.84528,1
26.192444,91.764222,1
26.195306,91.765639,1
26.195528,91.780556,1
26.19622,91.76336,1
26.20261,91.14528,1
26.20536,91.86497,1
26.37456,91.84561,1
26.54,94.37,1
26.54,94.37,1
26.54,94.37,1
26.55,94.36,1
26.55,94.36,1
26.55,94.36,1
26.55,94.36,1
26.56,94.36,1
26.56,94.36,1
26.56,94.36,1
26.6,94.35,1
26.6,94.35,1
26.88969,92.12266,1
26.89074,92.12068,1
26.11464,91.83886,1
26.19044,91.77502,1
24.57257,92.70357,1
24.57235,92.70536,1
24.58585,92.70274,1
24.96756,92.74392,1
24.95794,92.73201,1
24.95054,92.731458,1
24.94756,92.73097,1
25.16736,93.00953,1
25.16023,93.01084,1
25.162389,93.010222,1
25.1625278,93.0103333,1
25.162472,93.01044,1
25.17175,93.00726,1
25.16649,93.01092,1
25.170194,93.007389,1
25.17144,93.005694,1
25.16579,93.00948,1
25.15859,93.01292,1
26.13441667,91.74875,1
26.10711111,91.78916667,1
26.09961111,91.87811111,1
26.14944444,91.748,1
25.15556,93.021583,1
25.156483,93.018367,1
25.158138,93.024778,1
25.24194444,93.14319444,1
25.41733333,93.12908333,1
25.17044,93.025325,1
25.171264,93.020014,1
25.16804,93.02503,1
25.178006,93.022825,1
25.168083,93.024922,1
25.27480556,93.14555556,1
25.18955556,93.09641667,1
25.1638056,93.010861,1
25.175,93.01967,1
26.19552778,91.78055556,1
25.17483,93.019861,1
25.1568056,93.019722,1
25.156833,93.017694,1
25.1565,93.0151,1
25.15667,93.01275,1
25.16367,93.02478,1
25.16649,93.02289,1
25.16497,93.02275,1
25.1655,93.02556,1
25.16427,92.99788,1
25.17425,93.00244,1
25.162667,93.009806,1
25.16553,93.02172,1
25.17986111,93.07077778,1
25.14677778,93.03097222,1
25.15561111,93.02222222,1
25.15658333,93.01961111,1
25.15713889,93.01719444,1
25.164,93.04019444,1
25.10638889,92.86480556,1
25.10941667,92.88075,1
25.10988889,92.89316667,1
25.10877778,92.92033333,1
25.10897222,92.92886111,1
25.11011111,92.99877778,1
25.11077778,93.00458333,1
25.11238889,93.00575,1
25.14872222,93.03191667,1
25.14525,93.02916667,1
25.15572222,93.02277778,1
25.23230556,93.03333333,1
26.21083333,91.68944444,1
25.14264,93.03182,1
25.143408,93.02995,1
25.14879,93.031636,1
25.15144,93.0331,1
25.15669444,93.01766667,1
25.20552778,93.02013889,1
25.24597222,93.02827778,1
25.21494444,93.02161111,1
25.2185,93.01311111,1
25.21694444,93.01136111,1
26.19052,91.77499,1
25.15933333,93.017,1
25.23925,93.03152778,1
25.23297222,93.03325,1
25.15638889,93.01838889,1
25.15736111,93.01608333,1
25.23880556,93.03219444,1
25.19669444,93.01858333,1
25.18844444,93.01966667,1
25.20738889,93.12277778,1
25.17597222,93.02016667,1
25.17505556,93.02041667,1
25.17188889,93.02061111,1
25.16563889,93.02544444,1
25.16344444,93.02316667,1
25.15069444,93.02583333,1
25.14586111,93.02419444,1
25.14041667,93.02038889,1
25.13961111,93.01955556,1
26.150124,91.727915,1
25.18452778,93.12563889,1
25.17638889,93.11613889,1
25.1775,93.02622222,1
25.17691667,93.02655556,1
25.17702778,93.02088889,1
25.19308333,93.12041667,1
25.13447222,93.01897222,1
26.18841667,91.85125,1
26.19244444,91.76422222,1
26.19236111,91.78080556,1
26.15805556,91.71258333,1
26.1755,91.76175,1
26.19038889,91.80994444,1
26.18866667,91.76694444,1
25.91286,92.49797,1
26.19622222,91.76336111,1
25.96664,92.51636,1
25.967,92.51617,1
25.96458,92.52081,1
25.96886,92.51572,1
25.97461,92.51375,1
25.97664,92.51283,1
25.98214,92.51139,1
25.91608,92.50203,1
25.92153,92.50753,1
25.92525,92.51031,1
25.91936,92.50556,1
25.92103,92.50708,1
25.92233,92.50819,1
25.924,92.50939,1
25.95825,92.51414,1
25.96403,92.51631,1
25.91406,92.49897,1
25.91422,92.49972,1
25.95478,92.51386,1
25.95317,92.51353,1
26.10591667,91.62283333,1
26.11464,91.83886,1
25.32069444,93.12733333,1
26.17755556,91.76588889,1
26.17672222,91.76525,1
26.15427778,91.79263889,1
26.15477778,91.77411111,1
26.17672222,91.78672222,1
26.1895,91.78716667,1
25.40586111,93.11097222,1
25.39155556,93.11316667,1
26.11266667,91.85388889,1
24.92097,93.07306,1
26.19530556,91.76563889,1
26.21111111,91.68416667,1
26.19330556,91.77725,1
26.09150556,91.87898611,1
26.21305556,91.6925,1
26.1916,91.80361,1
26.19322,91.77033,1
26.18789,91.79493,1
25.17136,93.01102,1
25.169861,93.002528,1
25.18972,93.02011,1
25.18625,93.01629,1
25.177416,93.00975,1
25.2316944,93.1614167,1
25.18919,93.02118,1
24.70619444,92.28997222,1
25.17623,93.01326,1
26.15958333,91.72388889,1
26.15166667,91.73138889,1
26.15544444,91.679,1
25.10727778,92.88313889,1
25.10622222,92.8845,1
26.14988889,91.77394444,1
26.10891667,91.74175,1
26.12911111,91.74911111,1
26.15333333,91.77711111,1
26.15052778,91.72766667,1
26.16405556,91.72827778,1
26.19113889,91.82961111,1
26.158193,91.755807,1
26.166185,91.7147,1
26.16616,91.713803,1
26.16297,91.7059,1
26.17027,91.698,1
25.117665,92.847709,1
25.283672,93.301012,1
25.366255,92.823037,1
25.316197,93.006158,1
25.172918,92.995982,1
25.319717,93.123028,1
25.318433,93.115767,1
25.22548,93.023783,1
25.18846,93.003768,1
25.20006,92.9972,1
25.19509,92.9995,1
25.199617,92.997478,1
25.18833,93.104922,1
25.147883,93.085354,1
25.211625,93.00113,1
25.21112,92.999782,1
25.267553,93.191317,1
25.266788,93.190998,1
25.26676,93.1964,1
25.266142,93.197997,1
25.265743,93.21778,1
25.757752,91.252285,1
26.238016,91.945953,1
25.872268,91.213965,1
26.2272613,91.6922458,1
26.184324,91.855395,1
26.24698,91.964383,1
26.11956,92.052125,1
25.69814,93.129423,1
25.648512,93.121528,1
25.388977,93.121008,1
25.740148,91.224044,1
25.341478,93.133718,1
25.888959,92.61669,1
25.890032,92.621245,1
26.156633,91.938576,1
26.1445,91.7362,1
27.018342,92.6356,1
27.03106,93.62292,1
27.035278,92.610556,1
27.06658,92.59572,1
27.078472,93.605639,1
27.08130556,93.61283333,1
27.086667,92.585278,1
27.091139,93.615667,1
27.093889,92.591389,1
27.095278,93.615694,1
27.101111,93.619222,1
27.10375,93.61529,1
27.105556,93.699722,1
27.106472,93.663889,1
27.10736,93.64975,1
27.112222,93.694444,1
27.124444,93.742222,1
27.1275,93.73164,1
27.1275,93.73164,1
27.193425,93.780983,1
27.207659,93.615842,1
27.23995,93.806589,1
27.246131,93.804711,1
27.254756,93.801303,1
27.294886,93.803328,1
27.307072,93.806008,1
27.339267,93.802581,1
27.345556,92.266389,1
27.460278,92.110278,1
27.512278,91.875556,1
27.08130556,93.61283333,1
28.14116,95.27472,1
28.14251,95.27439,1
27.03106,93.62292,1
27.58741667,91.88694444,1
27.58741667,91.88694444,1
27.59152778,91.88044444,1
27.50994444,91.85486111,1
27.561083,91.911528,1
