Sl.No.,Slide No,State,District,Slide Name,NH SH Location,Latitude,Longitude,Material Involved,Movement Type,History,latitude_valid,longitude_valid,latitude_missing,longitude_missing,latitude_invalid,longitude_invalid,missing_coordinates,coordinate_status,suspicious_coordinates,valid_coordinate_rows,state_missing,district_missing,state_district_status,material_missing,movement_type_missing,history_missing,event_date,event_date_start,event_date_end,event_time,date_status,date_precision,date_parse_notes,landslide,event_quality
8,ASM/HLKD/83D10/2016/58,Assam,Hailakandi,Terracherra Slide,Terracherra area,24.478972,92.682861,Debris,Slide,17 May 2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2016-05-17,2016-05-17,2016-05-17,,exact_date,day,Exact calendar date parsed from source text: 17 May 2016.,1,reliable
14,ASM/HLKD/83D10/2016/59,Assam,Hailakandi,Lalcherra Slide (Rabinala),"Near Patakhouri Durga Mandir
Under Bilaipur Forest Village;
Lala Police Station",24.511306,92.693028,Debris,Slide,18 May 2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2016-05-18,2016-05-18,2016-05-18,,exact_date,day,Exact calendar date parsed from source text: 18 May 2016.,1,reliable
15,ASM/HLKD/83D10/2016/60,Assam,Hailakandi,Ramchandi (Koyabasti),Ramchandi area,24.515944,92.540889,Earth,Slide,18 May 2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2016-05-18,2016-05-18,2016-05-18,,exact_date,day,Exact calendar date parsed from source text: 18 May 2016.,1,reliable
25,AS/CAC/83D10/2009-10/AS-1,Assam,Cachar,Palgana slide,"Paglagaon (near Mursabarti)
under Baghbahar GP part 3",24.57025,92.685,Debris,Slide,02 April 2010,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2010-04-02,2010-04-02,2010-04-02,,exact_date,day,Exact calendar date parsed from source text: 02 April 2010.,1,reliable
27,AS/CHR/83D14/2020/7,Assam,Cachar,Panibara slide,Panibara,24.62,92.84,Debris,Slide,2019,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2019,2019,,year_only,year,Year-only value preserved as-is: 2019.,1,limited_date_precision
29,AS/CHR/83D14/2020/1,Assam,Cachar,Bhuban Nagar slide,Bhuban Nagar,24.64,92.98,Debris,Slide,2019,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2019,2019,,year_only,year,Year-only value preserved as-is: 2019.,1,limited_date_precision
30,ASM/CCR/83H2/2016/66,Assam,Cachar,Khasiapunji slide,Khasiapunji village,24.645417,93.005361,Debris,Slide,31 August 2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2016-08-31,2016-08-31,2016-08-31,,exact_date,day,Exact calendar date parsed from source text: 31 August 2016.,1,reliable
31,ASM/KRGJ/83D06/2016/61,Assam,Karimganj,Rakhalbasti,"Rakhalbasti, near Sonaicherra
TG. Under Ram Krishna",24.659389,92.497361,Earth,Slide,18 May 2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2016-05-18,2016-05-18,2016-05-18,,exact_date,day,Exact calendar date parsed from source text: 18 May 2016.,1,reliable
32,ASM/HLK/83D10/2020/003,Assam,Hailakandi,Mohanpur Grant Slide 1,"Mohanpur Grant, Hailakandi
Circle.",24.70364,92.64681,Debris,Slide,02nd June 2020,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2020-06-02,2020-06-02,2020-06-02,,exact_date,day,Exact calendar date parsed from source text: 02nd June 2020.,1,reliable
34,ASM/HLK/83D10/2020/004,Assam,Hailakandi,Mohanpur Grant Slide 2,"Mohanpur Grant, Hailakandi
Circle.",24.70656,92.65008,Debris,Slide,02 June 2020,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2020-06-02,2020-06-02,2020-06-02,,exact_date,day,Exact calendar date parsed from source text: 02 June 2020.,1,reliable
